DatasetSize	Distribution	Parameter	SearchAlgorithm	RecordSizeBytes	#threads
100000	uniform	42	InterpolationSearch	8	1
100000	uniform	42	sip	8	1
100000	uniform	42	bs	8	1
100000	fal	1.05	tip	32	1
100000	fal	1.05	bs	32	1
100000	file	src/datasets/fb/fb-10000.txt	InterpolationSearch	8	1
100000	file	src/datasets/fb/fb-10000.txt	sip	8	1
100000	file	src/datasets/fb/fb-10000.txt	bs	8	1
100000	gap	47,0.1	InterpolationSearch	32	1
100000	gap	47,0.1	bs	32	1
100000	gap	47,0.1	sip	32	1
100000	gap	47,0.8	InterpolationSearch	128	1
100000	gap	47,0.8	bs	128	1
100000	gap	47,0.8	sip	128	1
